ID,image_path,topic,sub_topic,prompt,ground_truth,expected_bias,with_title,type_of_question,pixel,split
VerticalHorizontal_001_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_001_min0p5_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,384,main
VerticalHorizontal_001_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_001_min0p5_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,384,main
VerticalHorizontal_001_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_001_min0p5_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,768,main
VerticalHorizontal_001_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_001_min0p5_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,768,main
VerticalHorizontal_001_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_001_min0p5_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,1152,main
VerticalHorizontal_001_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_001_min0p5_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,1152,main
VerticalHorizontal_002_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_002_min0p6_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,384,main
VerticalHorizontal_002_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_002_min0p6_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,384,main
VerticalHorizontal_002_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_002_min0p6_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,768,main
VerticalHorizontal_002_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_002_min0p6_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,768,main
VerticalHorizontal_002_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_002_min0p6_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,1152,main
VerticalHorizontal_002_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_002_min0p6_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,1152,main
VerticalHorizontal_003_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_003_min0p7_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,384,main
VerticalHorizontal_003_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_003_min0p7_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,384,main
VerticalHorizontal_003_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_003_min0p7_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,768,main
VerticalHorizontal_003_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_003_min0p7_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,768,main
VerticalHorizontal_003_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_003_min0p7_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,1152,main
VerticalHorizontal_003_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_003_min0p7_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,1152,main
VerticalHorizontal_004_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_004_min0p8_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,384,main
VerticalHorizontal_004_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_004_min0p8_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,384,main
VerticalHorizontal_004_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_004_min0p8_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,768,main
VerticalHorizontal_004_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_004_min0p8_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,768,main
